row,col,ch,ro,co,koo,p,i,j,out,ref,diff,match
2,6,14,0,0,0,2,6,14,650497,641981,8516,0
2,6,15,0,0,0,2,6,15,677103,675433,1670,0
3,0,0,0,0,0,3,0,0,746305,746305,0,1
3,0,1,0,0,0,3,0,1,716554,716554,0,1
3,0,2,0,0,0,3,0,2,665503,665503,0,1
3,0,3,0,0,0,3,0,3,710210,710210,0,1
3,0,4,0,0,0,3,0,4,710039,710039,0,1
3,0,5,0,0,0,3,0,5,664660,664660,0,1
3,0,6,0,0,0,3,0,6,657160,657160,0,1
3,0,7,0,0,0,3,0,7,738196,738196,0,1
3,0,8,0,0,0,3,0,8,713741,713741,0,1
3,0,9,0,0,0,3,0,9,675956,675956,0,1
3,0,10,0,0,0,3,0,10,685820,685820,0,1
3,0,11,0,0,0,3,0,11,690242,690242,0,1
3,0,12,0,0,0,3,0,12,725733,725733,0,1
3,0,13,0,0,0,3,0,13,692668,690287,2381,0
3,0,14,0,0,0,3,0,14,665370,663920,1450,0
3,0,15,0,0,0,3,0,15,694733,692222,2511,0
3,1,0,0,0,0,3,1,0,740833,740833,0,1
3,1,1,0,0,0,3,1,1,714150,714150,0,1
3,1,2,0,0,0,3,1,2,685971,685971,0,1
3,1,3,0,0,0,3,1,3,703370,703370,0,1
3,1,4,0,0,0,3,1,4,729772,729772,0,1
3,1,5,0,0,0,3,1,5,707991,707991,0,1
3,1,6,0,0,0,3,1,6,638988,638988,0,1
3,1,7,0,0,0,3,1,7,734487,734487,0,1
3,1,8,0,0,0,3,1,8,704307,704307,0,1
3,1,9,0,0,0,3,1,9,687733,687733,0,1
3,1,10,0,0,0,3,1,10,714731,714731,0,1
3,1,11,0,0,0,3,1,11,650206,650206,0,1
3,1,12,0,0,0,3,1,12,732387,715912,16475,0
3,1,13,0,0,0,3,1,13,689133,687194,1939,0
3,1,14,0,0,0,3,1,14,686501,690355,-3854,0
3,1,15,0,0,0,3,1,15,705590,701916,3674,0
3,2,0,0,0,0,3,2,0,733980,733980,0,1
3,2,1,0,0,0,3,2,1,719874,719874,0,1
3,2,2,0,0,0,3,2,2,714424,714424,0,1
3,2,3,0,0,0,3,2,3,722116,722116,0,1
3,2,4,0,0,0,3,2,4,729529,729529,0,1
